
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007711                       # Number of seconds simulated (Second)
simTicks                                   7710505000                       # Number of ticks simulated (Tick)
finalTick                                  7710505000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    227.65                       # Real time elapsed on the host (Second)
hostTickRate                                 33869304                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     656132                       # Number of bytes of host memory used (Byte)
simInsts                                      4267330                       # Number of instructions simulated (Count)
simOps                                        7553230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    18745                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33178                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7710506                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9698004                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   138710                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8637508                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  17960                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2283414                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5578112                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               78044                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7659568                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.127676                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.673815                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     59.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     19      0.03%     59.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     3      0.00%     59.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     59.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     59.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    2      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     59.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                  26924     40.04%     99.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                   325      0.48%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead                20      0.03%     99.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite               29      0.04%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass         5574      0.06%      0.06% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu       6276113     72.66%     72.73% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult        21879      0.25%     72.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv          2553      0.03%     73.01% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd          555      0.01%     73.01% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp            0      0.00%     73.01% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt           32      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult            0      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd          451      0.01%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     73.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu         1238      0.01%     73.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp            0      0.00%     73.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt         1290      0.01%     73.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc         1309      0.02%     73.06% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     73.06% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     73.06% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift          257      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     73.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead      1496915     17.33%     90.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite       826156      9.56%     99.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead         1822      0.02%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite         1364      0.02%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total        8637508                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.120226                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               67249                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.007786                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 25002155                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                12132531                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         8592017                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     17633                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    14191                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             8264                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     8690337                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         8846                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                           8618023                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       1493806                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     19480                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            2314025                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         604466                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       820219                       # Number of stores executed (Count)
system.cpu.numRate                           1.117699                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             812                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           50938                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     4267330                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       7553230                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.806869                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.806869                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.553444                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.553444                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    9378160                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   6444032                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                       12005                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                       6380                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     3102973                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    2658185                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   4019191                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        1813570                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       1064254                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      1476709                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       629400                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  776543                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            743732                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              5147                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               673605                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                  672866                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.998903                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    3810                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  4                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            1471                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                319                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1152                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          311                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.loop_predictor.correct       519854                       # Number of times the loop predictor is the provider and the prediction is correct (Count)
system.cpu.branchPred.loop_predictor.wrong        15305                       # Number of times the loop predictor is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.longestMatchProviderCorrect       337153                       # Number of times TAGE Longest Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.altMatchProviderCorrect         1597                       # Number of times TAGE Alt Match is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderCorrect          430                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is correct (Count)
system.cpu.branchPred.tage.bimodalProviderCorrect       192266                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWrong         1946                       # Number of times TAGE Longest Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWrong          748                       # Number of times TAGE Alt Match is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalAltMatchProviderWrong          154                       # Number of times TAGE Alt Match is the bimodal and it is the provider and the prediction is wrong (Count)
system.cpu.branchPred.tage.bimodalProviderWrong          865                       # Number of times there are no hits on the TAGE tables and the bimodal prediction is wrong (Count)
system.cpu.branchPred.tage.altMatchProviderWouldHaveHit          397                       # Number of times TAGE Longest Match is the provider, the prediction is wrong and Alt Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProviderWouldHaveHit          521                       # Number of times TAGE Alt Match is the provider, the prediction is wrong and Longest Match prediction was correct (Count)
system.cpu.branchPred.tage.longestMatchProvider::0            0                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::1        15244                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::2         4932                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::3         8587                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::4       110711                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::5        11879                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::6        11031                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::7        89459                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::8        43130                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::9        15168                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::10         6812                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::11         8792                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.longestMatchProvider::12        15699                       # TAGE provider for longest match (Count)
system.cpu.branchPred.tage.altMatchProvider::0        21208                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::1         4923                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::2         6313                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::3       119112                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::4        89812                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::5         6661                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::6        13430                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::7        46843                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::8         4799                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::9         9456                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::10         4605                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::11        14282                       # TAGE provider for alt match (Count)
system.cpu.branchPred.tage.altMatchProvider::12            0                       # TAGE provider for alt match (Count)
system.cpu.commit.commitSquashedInsts         2282116                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls           60666                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              4749                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      7357173                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.026648                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.919970                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         4978648     67.67%     67.67% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          585098      7.95%     75.62% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          470300      6.39%     82.02% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          702270      9.55%     91.56% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4           28578      0.39%     91.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          259136      3.52%     95.47% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           73906      1.00%     96.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7            6602      0.09%     96.57% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          252635      3.43%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
